pair_id,tier,text_a,text_b,expected_relation,risk_note,cos_qwen3_0.6b_no_instruct,cos_qwen3_0.6b_instruct,cos_vn_embedding_no_instruct,cos_vn_embedding_instruct,cos_text3large
T3-01,3_same_topic_diff_entity,Quyết định 198/QĐ-TCT ban hành ngày 15/03/2026.,Quyết định 205/QĐ-TCT ban hành ngày 20/04/2026.,Thấp hơn T2,Cùng loại nội dung (quyết định + ngày ban hành) nhưng khác văn bản hoàn toàn,0.6938,0.5210,0.7917,0.3357,0.8916
T3-02,3_same_topic_diff_entity,"Gói cước MIU có giá 50.000đ/tháng, 4GB data.","Gói cước D60 có giá 60.000đ/tháng, 5GB data.",Thấp hơn T2,Cùng loại thông tin gói cước nhưng khác gói,0.6728,0.5772,0.8183,0.5180,0.7647
T3-03,3_same_topic_diff_entity,Thuê bao trả trước phải nạp tiền tối thiểu 20.000đ mỗi tháng để duy trì.,Thuê bao trả sau được miễn phí thuê bao tháng đầu tiên.,Thấp hơn T2,Cùng chủ đề loại hình thuê bao nhưng khác quy định,0.6040,0.5954,0.5628,0.4557,0.5758
T4-01,4_unrelated,Quyết định 198/QĐ-TCT ban hành ngày 15/03/2026.,Khách hàng có thể thanh toán cước qua ví điện tử Momo hoặc ZaloPay.,Thấp nhất (sàn dưới),Không liên quan chủ đề,0.1053,0.2842,0.1835,0.0496,0.2803
T4-02,4_unrelated,Gói cước MIU có giá 50.000đ/tháng.,Trung tâm chăm sóc khách hàng làm việc từ 8h đến 17h các ngày trong tuần.,Thấp nhất,Không liên quan chủ đề,0.1358,0.1395,0.2935,0.1135,0.3041
T4-03,4_unrelated,Thuê bao phải đăng ký lại thông tin trước ngày 30/06/2026.,Ứng dụng My VNPT hỗ trợ tra cứu lịch sử cuộc gọi.,Thấp nhất,Không liên quan chủ đề,0.2362,0.2960,0.2804,0.1631,0.3269
V-01,5_vocab_gap,Khách hàng chấm dứt hợp đồng sử dụng dịch vụ trước thời hạn sẽ phải thanh toán phí vi phạm.,Thuê bao rời mạng trước hạn hợp đồng phải chịu phí bồi thường.,PHẢI cao (gần mức T1) dù khác từ vựng hoàn toàn,'chấm dứt hợp đồng'/'rời mạng' và 'phí vi phạm'/'phí bồi thường' là 2 cặp từ khác nhau nhưng cùng nghĩa -- đây đúng lỗ hổng đã từng đo được ở câu 33/90 (rag),0.6666,0.6366,0.6606,0.5007,0.7192
V-02,5_vocab_gap,Đơn vị huỷ bỏ thoả thuận cung cấp dịch vụ với khách hàng.,Bên sử dụng dịch vụ ngừng hợp tác với nhà mạng.,PHẢI cao dù khác từ vựng,huỷ bỏ thoả thuận vs ngừng hợp tác -- cùng ý chấm dứt quan hệ dịch vụ,0.6698,0.6098,0.6121,0.4577,0.5534
V-03,5_vocab_gap,Mức phạt áp dụng khi thuê bao huỷ gói cước trước hạn sử dụng.,Chi phí bồi hoàn khi khách hàng rời mạng sớm trước thời hạn cam kết.,PHẢI cao dù khác từ vựng,mức phạt/chi phí bồi hoàn và huỷ gói/rời mạng sớm -- cùng ý nghĩa tài chính khi kết thúc sớm,0.5940,0.6046,0.5681,0.4626,0.6137
S-01,0_sanity_identical,Quyết định 198/QĐ-TCT được ban hành ngày 15/03/2026.,Quyết định 198/QĐ-TCT được ban hành ngày 15/03/2026.,~1.0 (kiểm tra API/script hoạt động đúng),Câu giống hệt nhau -- nếu không ra ~1.0 thì lỗi ở script/API chứ chưa cần bàn tới model,1.0000,0.8169,1.0000,0.6948,1.0000
